ID	ID_BEZERO	ZENBAKIA
1	209	+39100124363
1	210	+66760124633
1	211	+91800124637
1	212	+3920124771
1	213	+3920124773
1	214	+3920124775
1	215	+39490124777
1	216	+39490124779
1	217	+39490124781
1	218	+91800124783
1	219	+91800124785
1	220	+91800124793
1	221	+91800124803
1	222	+91800124809
1	223	+91110124811
1	224	+91110124813
1	225	+91110124817
1	226	+91800124823
1	227	+91330124825
1	228	+91330124827
1	229	+91800124829
1	230	+91220124831
1	231	+91800124833
1	232	+91110124835
1	233	+911720124837
1	234	+91220124839
1	235	+91800124841
1	236	+91800124843
1	237	+91110124851
1	238	+91110124853
1	239	+911720124861
1	240	+91800124869
1	241	+91800124887
1	242	+91800124889
1	243	+91800124891
1	244	+911410124895
1	245	+91800124907
1	246	+91800124919
1	247	+91800124931
1	248	+3960124501
1	249	+3960124503
1	250	+3960124507
1	251	+3960124511
1	252	+3960124515
1	253	+3960124519
1	254	+3960124531
1	255	+3960124535
1	256	+3960124539
1	257	+39100124385
1	258	+39100124387
1	259	+3960124389
1	260	+3960124391
1	261	+39490124409
1	262	+39490124411
1	263	+39100124413
1	264	+39490124415
1	265	+39490124417
1	266	+39490124419
1	267	+39100124421
1	268	+66760124441
1	269	+41560123527
1	270	+41570123529
1	271	+41580123531
1	272	+41590123533
1	273	+41600123535
1	274	+41610123537
1	275	+41620123539
1	276	+41630123541
1	277	+41640123543
1	278	+41650123545
1	279	+41660123547
1	280	+41670123549
1	281	+4120123551
1	282	+4130123553
1	283	+41810123555
1	284	+41810123557
1	285	+41710123559
1	286	+41710123561
